Station Code,Location,Grid Reference,Easting,Northing,Date,Time,Q,NO2-N (mg/l),Q,NO3-N (mg/l),Q,P(SOL) (mg/l),Q,P(TOT) (mg/l),Q,TON (mg/l)
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,21/06/2002,1200,,0.012,,2.35,,0.06,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,29/07/2002,1115,,0.013,,2.01,,0.05,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,28/08/2002,1100,,0.042,,1.78,,0.08,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,20/09/2002,1050,,0.02,,2.01,,0.06,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,22/10/2002,1110,,0.019,,1.33,,0.07,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,21/11/2002,1015,,0.039,,2.12,,0.03,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,18/12/2002,1115,,0.046,,2.52,,0.02,,,,
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,30/01/2003,845,,0.013,,1.88,,0.02,,,,1.89
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,26/02/2003,1105,,0.069,,2.36,,0.01,,,,2.42
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,24/03/2003,1035,,0.062,,2.52,,0.02,,,,2.58
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,28/04/2003,1115,,0.078,,1.14,,0.08,,,,1.21
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,29/05/2003,1110,,0.015,,2.31,,0.02,,,,2.32
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,30/06/2003,1055,,0.014,,2.21,,0.05,,,,2.22
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,29/07/2003,1110,,0.018,,1.6,,0.07,,,,1.62
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,28/08/2003,1130,,0.149,,1.2,,0.16,,,,1.35
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,19/09/2003,1100,,0.079,,0.58,,0.59,,,,0.66
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,22/10/2003,1010,,0.123,,1.85,,0.05,,,,1.97
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,21/11/2003,1055,,0.049,,3.27,,0.02,,,,3.31
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,09/12/2003,1055,,0.1,,3.23,,0.03,,,,3.33
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,22/01/2004,1035,,0.026,,3.9,,0.02,,,,3.93
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,17/02/2004,1100,,0.038,,3.38,,0.02,,,,3.42
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,15/03/2004,1105,,0.034,,2.67,<  ,0.01,,,,2.7
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,23/04/2004,1110,,0.028,,3,,,,,,3.03
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,13/05/2004,1105,,0.032,,3.26,<  ,0.05,,,,3.29
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,14/06/2004,1015,,0.022,,1.96,,0.07,,,,1.98
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,09/07/2004,1045,,0.088,,2.94,,0.08,,,,3.03
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,17/08/2004,1020,,0.009,,1.59,,0.08,,,,1.6
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,15/09/2004,1035,,0.024,,2.78,,0.04,,,,2.81
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,14/10/2004,1135,,0.024,,2.84,,0.03,,,,2.87
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,11/11/2004,1110,,0.03,,2.65,,0.03,,,,2.68
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,07/12/2004,1120,,0.178,,2.83,,0.09,,,,3
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,24/01/2005,1105,,0.041,,3.74,,0.03,,,,3.78
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,22/02/2005,1140,,0.029,,3.08,,0.02,,,,3.11
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,23/03/2005,1145,,0.114,,3.07,,0.12,,,,3.18
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,21/04/2005,1100,,0.05,,3.1,,0.04,,,,3.15
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,22/05/2005,1110,,0.014,,2.56,,0.04,,,,2.58
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,20/06/2005,1215,,0.048,,2.71,,0.04,,,,2.75
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,20/07/2005,1110,,0.038,,2.45,,0.11,,,,2.48
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,18/08/2005,1010,,0.019,,1.99,,0.05,,,,2.01
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,16/09/2005,1045,,0.007,,2.13,,0.06,,,,2.14
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,18/10/2005,1130,,0.012,,2.86,,0.07,,,,2.87
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,17/11/2005,1215,,0.032,,3.25,,0.02,,,,3.28
10002,KILFENNAN BURN AT FOYLE BRIDGE,C460184,246079,418422,07/12/2005,1015,,0.049,,3.09,,0.02,,,,3.14
10003,KILFENNAN BURN AT CAW,C463179,,,23/07/1996,1155,,,,,,0.26,,,,2.43
10003,KILFENNAN BURN AT CAW,C463179,,,22/08/1996,1105,,,,,,0.23,,,,3.02
10003,KILFENNAN BURN AT CAW,C463179,,,16/10/1996,1030,,,,,,0.35,,,,2.57
10003,KILFENNAN BURN AT CAW,C463179,,,18/11/1996,1045,,,,,,0.28,,,,3.94
10003,KILFENNAN BURN AT CAW,C463179,,,18/12/1996,1040,,,,,,0.33,,,,2.21
10003,KILFENNAN BURN AT CAW,C463179,,,14/01/1997,1100,,,,,,0.41,,,,2.84
10003,KILFENNAN BURN AT CAW,C463179,,,12/02/1997,1055,,,,,,0.08,,,,2
10003,KILFENNAN BURN AT CAW,C463179,,,13/03/1997,1110,,,,,<  ,0.05,,,,5.2
10003,KILFENNAN BURN AT CAW,C463179,,,11/04/1997,1120,,,,,,0.11,,,,3.6
10003,KILFENNAN BURN AT CAW,C463179,,,13/05/1997,1045,,,,,,0.06,,,,3.8
10003,KILFENNAN BURN AT CAW,C463179,,,09/06/1997,1040,,,,,,0.4,,,,3.7
10003,KILFENNAN BURN AT CAW,C463179,,,09/07/1997,1105,,,,,,0.4985,,,,2.3
10003,KILFENNAN BURN AT CAW,C463179,,,06/08/1997,1057,,,,,,0.3,,,,2.6
10003,KILFENNAN BURN AT CAW,C463179,,,05/09/1997,1055,,,,,,0.17,,,,1.3
10003,KILFENNAN BURN AT CAW,C463179,,,06/10/1997,1005,,0.03,,1.9,,0.37,,,,
10003,KILFENNAN BURN AT CAW,C463179,,,04/11/1997,1045,,0.07,,3.71,,0.28,,,,
10003,KILFENNAN BURN AT CAW,C463179,,,08/12/1997,1130,,0.02,,1.2,,0.1,,,,
10003,KILFENNAN BURN AT CAW,C463179,,,15/01/1998,1045,,0.02,,4.3,<  ,0.05,,,,
10003,KILFENNAN BURN AT CAW,C463179,,,17/02/1998,1035,,0.04,,4.49,,0.05,,,,
10003,KILFENNAN BURN AT CAW,C463179,,,18/03/1998,1055,,0.03,,4.42,,0.07,,,,
10003,KILFENNAN BURN AT CAW,C463179,,,15/04/1998,1140,,0.02,,3.44,,0.05,,,,
10003,KILFENNAN BURN AT CAW,C463179,,,14/05/1998,1050,,0.04,,3.695,,0.12,,,,
10003,KILFENNAN BURN AT CAW,C463179,,,15/06/1998,1045,,0.07,,3.9,,0.17,,,,
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,23/07/1996,1205,,,,,,1.6,,,,0.92
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,22/08/1996,1115,,,,,,1.72,,,,1.12
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,16/10/1996,1045,,,,,,3.16,,,,0.73
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,18/11/1996,1055,,,,,,1.46,,,,1.17
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,18/12/1996,1100,,,,,,0.51,,,,1.07
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,14/01/1997,1130,,,,,,0.81,,,,0.72
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,12/02/1997,1130,,,,,,0.06,,,,0.59
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,13/03/1997,1130,,,,,,0.56,,,,1.3
