Station Code,Location,Grid Reference,Easting,Northing,Date,Time,Q,NO2-N (mg/l),Q,NO3-N (mg/l),Q,P(SOL) (mg/l),Q,P(TOT) (mg/l),Q,TON (mg/l)
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,17/04/2003,945,,0.013,,1.37,,0.03,,,,1.38
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,22/05/2003,830,,0.019,,0.84,,0.08,,,,0.86
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,25/06/2003,1135,,0.022,,1.65,,0.09,,,,1.67
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,22/07/2003,1145,,0.025,,1.27,,0.13,,,,1.3
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,22/08/2003,900,,0.013,,1.54,,0.18,,,,1.55
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,15/09/2003,945,,0.015,,1.6,,0.06,,,,1.62
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,14/10/2003,1150,,0.022,,1.3,,0.1,,,,1.32
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,14/11/2003,1205,,0.02,,1.82,,0.15,,,,1.84
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,15/12/2003,1200,,0.022,,1.9,,0.08,,,,1.92
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,19/01/2004,1200,,0.026,,2.78,,0.05,,,,2.81
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,12/02/2004,1200,,0.026,,2.94,,0.05,,,,2.97
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,09/03/2004,955,,0.02,,2.05,,0.06,,,,2.07
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,09/04/2004,1015,,0.016,,1.56,,0.27,,,,1.58
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,12/05/2004,1135,,0.017,,2.44,,0.06,,,,2.46
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,11/06/2004,1150,,0.026,,1.4,,0.07,,,,1.42
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,05/07/2004,900,,0.026,,1,,0.11,,,,1.02
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,10/08/2004,1000,,0.019,,1.27,,0.18,,,,1.29
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,09/09/2004,945,,0.011,,1.47,,0.15,,,,1.48
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,13/10/2004,935,,0.041,,2.2,,0.07,,,,2.24
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,04/11/2004,910,,0.039,,2.18,,0.07,,,,2.22
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,03/12/2004,925,,0.029,,2.18,,0.07,,,,2.21
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,17/01/2005,940,,0.026,,1.85,,0.07,,,,1.88
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,15/02/2005,935,,0.025,,2.27,,0.06,,,,2.29
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,15/03/2005,1115,,0.025,,1.08,,0.17,,,,1.1
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,14/04/2005,1105,,0.033,,1.42,,0.06,,,,1.46
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,20/05/2005,1120,,0.014,,1.57,,0.03,,,,1.59
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,13/06/2005,1110,,0.02,,2.43,,0.05,,,,2.45
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,14/07/2005,1055,,0.021,,1.97,,0.13,,,,1.99
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,17/08/2005,1120,,0.018,,1.81,,0.1,,,,1.82
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,08/09/2005,1120,,0.018,,1.47,,0.12,,,,1.49
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,07/10/2005,1030,,0.025,,2.04,,0.08,,,,2.07
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,02/11/2005,835,,0.022,,1.68,,0.1,,,,1.7
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,30/11/2005,1210,,0.03,,1.83,,0.05,,,,1.86
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,18/01/2006,1110,,0.026,,1.82,,0.07,,,,1.84
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,17/02/2006,1010,,0.021,,1.27,,0.09,,,,1.29
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,20/03/2006,1040,,0.017,,3.07,,0.03,,,,3.09
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,20/04/2006,1010,,0.022,,2.01,,0.04,,,,2.03
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,18/05/2006,1115,,0.017,,0.83,,0.11,,,,0.85
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,16/06/2006,1020,<  ,0.002,,1.83,<  ,0.01,,,,1.83
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,19/07/2006,1215,,0.015,,1.24,,0.02,,,,1.26
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,17/08/2006,1000,,0.024,,1.32,,0.03,,,,1.35
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,12/09/2006,1140,,0.021,,1.75,,0.11,,,,1.77
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,16/10/2006,1145,,0.025,,2.59,,0.09,,,,2.62
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,14/11/2006,1040,,0.022,,1.6,,0.07,,,,1.62
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,14/12/2006,1145,,0.017,,1.62,,0.08,,,,1.64
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,16/02/2007,950,,0.016,,1.5,,0.07,,,,1.52
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,20/03/2007,1000,,0.012,,1.31,,0.04,,,,1.32
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,19/04/2007,1025,,0.013,,1.87,,0.03,,,,1.89
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,21/05/2007,1310,,0.016,,1.25,,0.05,,,,1.27
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,15/06/2007,1250,,0.036,,1.71,,0.09,,,,1.75
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,09/07/2007,1315,,0.031,,1.65,,0.09,,,,1.68
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,16/08/2007,1150,,0.021,,1.04,,0.11,,,,1.06
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,25/09/2007,1220,,0.038,,1.06,,0.1,,,,1.1
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,17/10/2007,955,,0.017,,1.27,,0.07,,,,1.29
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,12/11/2007,1000,,,,,,0.05,,,,
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,07/12/2007,1005,,0.009,,1.1,,0.12,,,,1.11
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,21/01/2008,1040,,0.009,,0.78,,0.11,,,,0.79
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,15/02/2008,1100,,0.033,,2.72,,0.06,,,,2.75
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,20/03/2008,1040,,0.021,,2.45,,0.05,,,,2.47
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,22/04/2008,1020,,0.014,,2.03,,0.03,,,,2.04
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,21/05/2008,1030,,0.023,,1.19,,0.04,,,,1.21
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,18/06/2008,1100,,0.01,,0.54,,0.01,,,,0.55
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,24/07/2008,1030,,0.016,,1.37,,0.06,,,,1.38
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,19/08/2008,1030,,0.018,,1.29,,0.09,,,,1.31
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,10/09/2008,1000,,0.034,,0.94,,0.09,,,,0.98
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,14/10/2008,1015,,0.022,,1.79,,0.07,,,,1.81
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,20/11/2008,1050,,0.027,,1.54,,0.05,,,,1.56
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,08/12/2008,1100,,0.024,,1.66,,0.04,,,,1.68
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,30/01/2009,1030,,0.019,,1.81,,0.05,,,,1.83
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,13/02/2009,1030,,0.013,,1.02,,0.05,,,,1.04
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,19/03/2009,950,,0.018,,1.42,,0.04,,,,1.44
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,21/04/2009,1040,,0.015,,1.46,,0.04,,,,1.48
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,20/05/2009,1000,,0.028,,0.94,,0.06,,,,0.96
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,17/06/2009,1140,,0.033,,1.28,,0.02,,,,1.32
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,23/07/2009,1100,,0.034,,1.07,,0.07,,,,1.1
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,18/08/2009,1105,,0.012,,0.65,,0.06,,,,0.66
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,08/09/2009,1035,,0.023,,0.78,,0.07,,,,0.81
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,13/10/2009,1100,,0.006,,1.4,,0.02,,,,1.4
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,19/11/2009,1030,,0.008,,0.6,,0.1,,,,0.61
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,07/12/2009,1130,,0.013,,0.98,,0.05,,,,1
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,20/01/2010,1015,,0.012,,1.09,,0.04,,,,1.1
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,15/02/2010,1000,,0.019,,1.81,,0.03,,,,1.83
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,19/03/2010,845,,0.014,,1.48,,0.02,,,,1.49
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,19/04/2010,900,,0.012,,1.5,,0.02,,,,1.51
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,19/05/2010,910,,0.016,,0.94,,0.01,,,,0.96
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,17/06/2010,945,,0.021,,0.56,,0.04,,,,0.59
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,22/07/2010,830,,0.023,,1.06,,0.07,,,,1.08
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,17/08/2010,845,,0.007,,0.91,,0.02,,,,0.92
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,07/09/2010,1145,,0.015,,1.64,,0.15,,,,1.65
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,12/10/2010,1120,,0.01,,1.47,,0.05,,,,1.48
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,16/11/2010,1200,,0.013,,1.78,,0.03,,,,1.79
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,15/12/2010,1245,,0.017,,,,0.03,,,,
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,17/01/2011,845,,0.01,,2.18,,0.05,,,,2.19
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,15/02/2011,1130,,0.01,,1.99,,0.04,,,,2
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,15/03/2011,850,,0.016,,1.33,,0.04,,,,1.35
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,14/04/2011,1045,,0.027,,1.66,,0.04,,,,1.69
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,17/05/2011,1000,,0.014,,0.89,,,,,,0.9
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,13/06/2011,1000,,0.023,,1.35,,0.06,,,,1.37
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,14/07/2011,1015,,0.017,,1.34,,0.06,,,,1.36
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,10/08/2011,1015,,0.012,,0.95,,0.07,,,,0.96
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,12/09/2011,1100,,0.013,,0.63,,0.11,,,,0.64
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,11/10/2011,1000,,0.008,,0.51,,0.13,,,,0.52
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,09/11/2011,1010,,0.032,,1.86,,0.05,,,,1.89
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,08/12/2011,930,,0.013,,1.17,,0.06,,,,1.18
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,16/01/2012,930,,0.02,,1.64,,0.04,,,,1.66
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,13/02/2012,920,,0.017,,1.26,,0.05,,,,1.28
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,14/03/2012,930,,0.022,,1.27,,0.06,,,,1.29
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,11/04/2012,945,,0.016,,1.38,,0.02,,,,1.4
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,09/05/2012,1306,,0.014,,1.42,,0.02,,,,1.43
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,21/06/2012,1200,,0.013,,1.14,,0.04,,,,1.15
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,05/07/2012,915,,0.02,,0.71,,0.07,,,,0.73
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,07/08/2012,950,,0.027,,1.34,,0.08,,,,1.37
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,04/09/2012,945,,0.017,,1.09,,0.07,,,,1.11
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,01/10/2012,945,,0.011,,0.56,,0.07,,,,0.57
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,01/11/2012,945,,0.015,,0.59,,0.08,,,,0.6
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,27/11/2012,1000,,0.016,,0.9,,0.05,,,,0.92
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,14/01/2013,950,,0.019,,1.1,,0.04,,,,1.12
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,11/02/2013,945,,0.01,,0.76,,0.05,,,,0.77
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,13/03/2013,935,,0.017,,1.22,,0.05,,,,1.24
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,10/04/2013,930,,0.012,,1.27,,0.04,,,,1.28
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,08/05/2013,940,,0.012,,0.75,,0.03,,,,0.76
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,06/06/2013,930,,0.012,,0.7,,0.02,,,,0.71
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,04/07/2013,945,,0.076,,1.73,,0.08,,,,1.81
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,06/08/2013,830,,0.013,,0.97,,0.07,,,,0.98
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,03/09/2013,835,,0.006,,0.62,,0.03,,,,0.63
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,30/09/2013,835,,0.015,,1.16,,0.07,,,,1.17
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,31/10/2013,830,,0.019,,1.27,,0.07,,,,1.29
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,26/11/2013,840,,0.021,,1.5,,0.05,,,,1.52
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,21/01/2014,830,,0.024,,2.1,,0.06,,,,2.12
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,17/02/2014,835,,0.017,,2.06,,0.04,,,,2.08
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,19/03/2014,840,,0.039,,1.29,,0.06,,,,1.33
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,07/04/2014,845,,0.023,,1.38,,0.06,,,,1.4
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,14/05/2014,1010,,0.022,,0.83,,0.07,,,,0.85
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,12/06/2014,1020,,0.028,,0.91,,0.1,,,,0.94
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,09/07/2014,1130,,0.014,,0.97,,0.04,,,,0.98
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,12/08/2014,1130,,0.023,,0.98,,0.09,,,,1
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,10/09/2014,1120,,0.009,,1.01,,0.07,,,,1.02
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,06/10/2014,1208,,0.038,,1.42,,0.19,,,,1.46
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,06/11/2014,1156,,0.022,,1.35,,0.18,,,,1.37
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,02/12/2014,1119,,0.034,,1.82,,0.07,,,,1.85
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,27/01/2015,1030,,0.02,,1.72,,0.05,,,,1.74
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,17/02/2015,940,,0.015,,1.15,,0.06,,,,1.16
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,23/03/2015,0,,0.022,,2.01,,0.05,,,,2.03
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,08/04/2015,940,,0.02,,1.83,,0.05,,,,1.85
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,06/05/2015,829,,0.013,,0.66,,0.08,,,,0.67
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,11/06/2015,939,,0.012,,1.19,,0.05,,,,1.2
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,06/07/2015,1300,,0.047,,1.69,,0.29,,,,1.74
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,03/08/2015,913,,0.019,,0.94,,0.09,,,,0.96
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,19/08/2015,1126,,0.02,,1.7,,0.07,,,,1.72
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,17/09/2015,1200,,0.012,,1.31,,0.06,,,,1.32
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,22/10/2015,1056,,0.041,,1.41,,0.05,,,,1.45
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,24/11/2015,1115,,0.011,,0.97,,0.07,,,,0.98
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,07/01/2016,0,,0.009,,0.49,,0.12,,,,0.5
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,18/02/2016,0,,0.014,,0.79,,0.07,,,,0.8
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,10/03/2016,0,,0.026,,0.87,,0.12,,,,0.9
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,05/04/2016,0,,0.017,,0.81,,0.07,,,,0.83
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,18/05/2016,0,,0.01,,0.61,,0.02,,,,0.62
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,08/06/2016,0,,0.013,,0.52,,0.04,,,,0.53
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,06/07/2016,0,,0.026,,0.7,,0.11,,,,0.73
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,16/08/2016,0,,0.01,,0.86,,0.09,,,,0.87
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,06/09/2016,1103,,0.019,,0.64,,0.11,,,,0.66
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,03/10/2016,1145,,0.031,,1.01,,0.08,,,,1.04
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,14/11/2016,1209,,0.019,,0.83,,0.08,,,,0.85
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,13/12/2016,0,,0.021,,1.36,,0.07,,,,1.38
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,16/01/2017,1123,,0.018,,1.04,,0.07,,,,1.06
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,13/02/2017,1115,,0.018,,1.44,,0.07,,,,1.46
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,15/03/2017,0,,0.017,,1.41,,0.06,,,,1.43
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,12/04/2017,0,,0.019,,1.44,,0.05,,,,1.46
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,17/05/2017,0,,0.028,,1.23,,0.03,,,,1.26
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,15/06/2017,1115,,0.024,,1.11,,0.1,,,,1.13
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,06/07/2017,0,,0.044,,1.56,,0.1,,,,1.6
10128,DRUMRAGH R AT CAR PARK UPSTREAM OF CAMPSIE BR,H455727,245497,372703,15/08/2017,0,,0.023,,1,,0.09,,,,1.02
